Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2022-02-03,Subs_2022-02-03
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",LIVRE-SE DAS DÍVIDAS EM TEMPO RECORDE!,https://www.youtube.com/watch?v=iwacYbvH-KI,3 years ago,666K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",MEUS SEGREDOS PARA O DINHEIRO SOBRAR TODO MÊS!,https://www.youtube.com/watch?v=CNCCKjxUM3I,3 years ago,347K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",UNICK FOREX É UMA BOA?,https://www.youtube.com/watch?v=_qh8zXx8_zU,2 years ago,285K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",NUCONTA É MELHOR QUE POUPANÇA?,https://www.youtube.com/watch?v=2G6kqdfslew,3 years ago,272K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object","SE NÃO PAGAR DÍVIDA, O QUE ACONTECE?",https://www.youtube.com/watch?v=nlqsliWVsmc,3 years ago,197K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",8 ITENS QUE NÃO GASTO MAIS DINHEIRO!,https://www.youtube.com/watch?v=agxFbIBdlNI,2 years ago,169K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",ESTRATÉGIAS PARA NEGOCIAR DÍVIDA DO CARTÃO,https://www.youtube.com/watch?v=wHEhsUNPfJA,3 years ago,164K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",COMO PARAR DE USAR CARTÃO DE CRÉDITO,https://www.youtube.com/watch?v=uAxZkfSrXeI,3 years ago,159K views,198K subscribers
familia e finanças,Luciana Fiaux - Domine suas Finanças,"0     https://www.youtube.com/c/Mar%C3%ADliaeDiogoFi...
1     https://www.youtube.com/channel/UC6fbIAdbiNZ3A...
2     https://www.youtube.com/channel/UC59PY3R1TQfN9...
3     https://www.youtube.com/channel/UCKHFVvARjinmB...
4     https://www.youtube.com/channel/UCrnBvgwGTyBjL...
5     https://www.youtube.com/channel/UCmcNP9_Ko3ZA_...
6     https://www.youtube.com/channel/UCaPRsOYb5iYzy...
7     https://www.youtube.com/c/LucianaFiauxDominesu...
8     https://www.youtube.com/channel/UCfeS3HuLv52jW...
9                       https://www.youtube.com/c/Ghaio
10    https://www.youtube.com/channel/UCPGEpl40jjK2W...
11             https://www.youtube.com/c/VaninhaFerrari
12    https://www.youtube.com/channel/UC1MQ7VQd4QbBz...
13    https://www.youtube.com/channel/UCVyVjCBzdGAI2...
14     https://www.youtube.com/c/MatheusMachadoValeOuro
15    https://www.youtube.com/channel/UCOgs2zi1C9OYR...
16    https://www.youtube.com/channel/UCdmL4rNzMiPED...
17    https://www.youtube.com/channel/UCyks1id4PZ7fP...
18    https://www.youtube.com/channel/UCY-mapPNHX1mb...
19    https://www.youtube.com/channel/UCZzz-YGZpBs_n...
Name: Ch_URL, dtype: object",CONTAS DIGITAIS: veja a melhor e mais segura!,https://www.youtube.com/watch?v=1Aoi5xbFMMA,3 years ago,155K views,198K subscribers
