Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-12-22,Subs_2021-12-22
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",Her crispy shaved refrozen ice eating ASMR ICE CRUNCH 氷を食べる | 얼음먹방 | กินน้ำแข็ง | buz yemek | ăn đá,https://www.youtube.com/watch?v=ZkUvgf4HyAA,há 2 semanas,6900,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",Ice queen shaved ice with matcha  eating ASMR ICE CRUNCH | Ice Mukbang 599 | 氷を食べる | 얼음먹방| buz yemek,https://www.youtube.com/watch?v=WMYSzhPIwxs,há 10 meses,6000,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",New ice queen shaved ice eating ASMR ICE CRUNCH 935 | Ice Mukbang | 氷を食べる | 얼음먹방 | buz yemek,https://www.youtube.com/watch?v=bSP5urFikig,há 8 meses,3400,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",*Requested* Slush coke ice eating ASMR ICE CRUNCH 306,https://www.youtube.com/watch?v=2xppuXJvjeY,há 1 ano,3100,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",*Requested* Her shaved ice with matcha eating ASMR ICE CRUNCH 471,https://www.youtube.com/watch?v=ZJYLXnFGQxY,há 11 meses,3000,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",Instant slush bottle ice eating ASMR ICE CRUNCH 648 | Ice Mukbang | 氷を食べる | 얼음먹방 | กินน้ำแข็ง  ăn đá,https://www.youtube.com/watch?v=HbcsJ995ADs,há 10 meses,3000,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",Freezer frost ice scraping ASMR ICE CRUNCH 478,https://www.youtube.com/watch?v=DbMY1ipG8zI,há 11 meses,2800,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",Carbonated ice eating ASMR collection 117,https://www.youtube.com/watch?v=YDTT297IC_o,há 1 ano,2500,9 2200
pastel,Pastel Ice Eating ASMR,"0     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
1      https://www.youtube.com/c/AlessandraSantosPastel
2     https://www.youtube.com/channel/UC8zl8cNK71tTS...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCENUZbRr1cWOJ...
5     https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
6     https://www.youtube.com/channel/UCSF6vx__8xdAn...
7     https://www.youtube.com/channel/UCTLvXWIDDkEmX...
8          https://www.youtube.com/c/VidadeCaminhoneiro
9     https://www.youtube.com/channel/UCVTncmsnkB0gp...
10    https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
11    https://www.youtube.com/channel/UCgbHSW3RTCHYD...
12    https://www.youtube.com/channel/UCPHRTCSjDAYBC...
13    https://www.youtube.com/channel/UCTLt1eNHmYPTg...
14    https://www.youtube.com/channel/UCZVeE4pxO9Aqv...
15    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
16    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
17    https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
18    https://www.youtube.com/channel/UCNNcrIPzH8R9_...
19    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
Name: Ch_URL, dtype: object",Her ice eating ASMR ICE CRUNCH 173,https://www.youtube.com/watch?v=kMyBs9F1EZ4,há 1 ano,2500,9 2200
