Category,Channel,Ch_URL,Titles,Video_URL,Date,View_2021-12-18,Subs_2021-12-18
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",cg titan 150 com kit 190 taxado no 치lcool s칩 na lenta游游,https://www.youtube.com/watch?v=ladzX9RY8XM,h치 3 meses,528,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",Motorz칚o 230cc taxado  no 치lcool,https://www.youtube.com/watch?v=1BTzyMsXc38,h치 1 ano,504,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",cortando giro titan 99 280cc,https://www.youtube.com/watch?v=vf6QvL2Hn_U,h치 2 meses,391,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",Aprenda como preparar um cabecote                                         Motor 4mm cg 150,https://www.youtube.com/watch?v=Z7oSUh5BvfY,h치 1 ano,313,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",Moto cg 150 preparada kit 4mm medindo taxa de compreens칚o!,https://www.youtube.com/watch?v=VUPHViFrofE,h치 1 ano,240,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",aprenda como tira vazamento de cabe칞ote preparado,https://www.youtube.com/watch?v=K9ohAQsbnqM,h치 1 ano,218,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",TESTE COM A ORIGINALZINHA!!  RENDIMENTO MUITO BOM!!,https://www.youtube.com/watch?v=08qlafp1KCg,h치 1 ano,216,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",kit 70mm teste na pista,https://www.youtube.com/watch?v=gcETlChROEc,h치 1 ano,179,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",APRENDA COMO MEDIR TAXA DE COMPREENS츾O KIT 190,https://www.youtube.com/watch?v=-0xLyG_bMLg,h치 2 meses,172,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",TROCANDO ESCAPAMENTO E COMANDO PREPARADO 游游,https://www.youtube.com/watch?v=Wiq5sVoryfk,h치 2 meses,158,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",prepara칞칚o rd 135 motor 2 tempo,https://www.youtube.com/watch?v=H_dUjTIbTd8,h치 1 ano,156,153
pastel,Pastel motos,"0      https://www.youtube.com/c/AlessandraSantosPastel
1     https://www.youtube.com/channel/UCSF6vx__8xdAn...
2     https://www.youtube.com/channel/UCn4nvnqa-ThMj...
3              https://www.youtube.com/c/WildPastelHair
4     https://www.youtube.com/channel/UCbGrYmiqPl9GF...
5     https://www.youtube.com/channel/UC7cKyn4tjG9r9...
6     https://www.youtube.com/channel/UCvU3Lrgb4cPOs...
7             https://www.youtube.com/user/caipiradeslp
8     https://www.youtube.com/channel/UCWbq9_8fq3Fqi...
9     https://www.youtube.com/channel/UC88YYy0Bsk9Vr...
10       https://www.youtube.com/c/HelloPastelBlossomTV
11    https://www.youtube.com/channel/UCFnUyWqZ2kJ3M...
12    https://www.youtube.com/channel/UC8zl8cNK71tTS...
13    https://www.youtube.com/channel/UCVTncmsnkB0gp...
14         https://www.youtube.com/c/VidadeCaminhoneiro
15    https://www.youtube.com/channel/UCbks7CvjI7bJW...
16    https://www.youtube.com/channel/UCIjMZ-yxmkQNw...
17    https://www.youtube.com/channel/UCsrQLeYie4r1Y...
18    https://www.youtube.com/channel/UCH3y9O7pO-YYf...
19    https://www.youtube.com/channel/UClQQegALUBT_-...
Name: Ch_URL, dtype: object",Barulho de v치lvulas da Bros e titan 160 aprenda como tira,https://www.youtube.com/watch?v=rSLKEowAs48,h치 3 meses,65,153
